left,right,mid,fi,Fi,hi,Hi
0.2731712801181107,160.8004151238171,80.5367932019676,19836,19836,0.9918,19836.0
160.8004151238171,321.3276589675161,241.06403704566657,74,19910,0.0037,19910.0
321.3276589675161,481.854902811215,401.5912808893655,11,19921,0.00055,19921.0
481.854902811215,642.3821466549141,562.1185247330645,11,19932,0.00055,19932.0
642.3821466549141,802.9093904986131,722.6457685767637,15,19947,0.00075,19947.0
802.9093904986131,963.436634342312,883.1730124204626,7,19954,0.00035,19954.0
963.436634342312,1123.963878186011,1043.7002562641615,4,19958,0.0002,19958.0
1123.963878186011,1284.49112202971,1204.2275001078606,5,19963,0.00025,19963.0
1284.49112202971,1445.0183658734088,1364.7547439515592,5,19968,0.00025,19968.0
1445.0183658734088,1605.545609717108,1525.2819877952584,7,19975,0.00035,19975.0
1605.545609717108,1766.0728535608068,1685.8092316389575,7,19982,0.00035,19982.0
1766.0728535608068,1926.6000974045057,1846.3364754826562,1,19983,5e-05,19983.0
1926.6000974045057,2087.127341248205,2006.8637193263553,1,19984,5e-05,19984.0
2087.127341248205,2247.654585091904,2167.3909631700544,1,19985,5e-05,19985.0
2247.654585091904,2408.181828935603,2327.9182070137535,4,19989,0.0002,19989.0
2408.181828935603,2568.709072779302,2488.4454508574527,3,19992,0.00015,19992.0
2568.709072779302,2729.236316623001,2648.9726947011513,2,19994,0.0001,19994.0
2729.236316623001,2889.7635604667,2809.4999385448505,0,19994,0.0,19994.0
2889.7635604667,3050.290804310399,2970.0271823885496,0,19994,0.0,19994.0
3050.290804310399,3210.818048154098,3130.5544262322483,1,19995,5e-05,19995.0
3210.818048154098,3371.3452919977967,3291.0816700759474,0,19995,0.0,19995.0
3371.3452919977967,3531.872535841496,3451.6089139196465,1,19996,5e-05,19996.0
3531.872535841496,3692.399779685195,3612.136157763345,1,19997,5e-05,19997.0
3692.399779685195,3852.9270235288936,3772.6634016070443,0,19997,0.0,19997.0
3852.9270235288936,4013.4542673725928,3933.1906454507434,1,19998,5e-05,19998.0
4013.4542673725928,4173.981511216291,4093.717889294442,0,19998,0.0,19998.0
4173.981511216291,4334.50875505999,4254.245133138141,0,19998,0.0,19998.0
4334.50875505999,4495.03599890369,4414.77237698184,0,19998,0.0,19998.0
4495.03599890369,4655.563242747388,4575.299620825539,1,19999,5e-05,19999.0
4655.563242747388,4816.090486591087,4735.826864669238,1,20000,5e-05,20000.0
